ITEM,CONDITION,FREQUENCY,PERSON_NUMBER,SENTENCE,GROUP,TYPE
5017,2,infreq,3pl,Bugün ufaklığı şımartasıları varmış.,1,item
3004,.,.,.,Bana makarna pişireceğine söz vermiştin.,1,filler
3035,.,.,.,Yarın mahkemeye çıkarılacakmışsınız.,1,filler
5048,4,infreq,2sg,Görüşmede arabulucuyla uzlaşasın yokmuş.,1,item
3026,.,.,.,Yarın akşam ailecek film izleyeceğiz.,1,filler
5015,2,infreq,3pl,Yarın sabah halı silkeleyesileri varmış.,1,item
3015,.,.,.,Kutuyu satması çok zahmetli olmakta değil.,1,filler
5034,3,freq,1sg,Yarın akşam antremana başlayasım yok.,1,item
3020,.,.,.,Sinema etkinliğine sıkıcılaştırmamızda ısrarcısınız.,1,filler
3001,.,.,.,Anneni özlediğini bilmiyordum.,1,filler
5038,4,infreq,3sg,Krizde vatandaşı kazıklayası varmış.,1,item
3045,.,.,.,Benle arkadaşlarım hafta sonu takıldım.,1,filler
3027,.,.,.,Genellikle yemekten sonra mutfağı toplarım.,1,filler
5042,4,infreq,1pl,Programda seyirciyi coşturasımız vardı.,1,item
3008,.,.,.,Nişanlısıyla tanışmayı siz de çok istiyormuşsunuz.,1,filler
3042,.,.,.,Perşembe pazarındaki elmaları çürüdük.,1,filler
5021,2,infreq,3pl,Pazarda satıcıyı oyalayasıları yokmuş.,1,item
3005,.,.,.,Şiir okuyuşuna hayran kaldım.,1,filler
5036,3,freq,2pl,Ekranda gerçeği söyleyesiniz yokmuş.,1,item
3009,.,.,.,Suçsuz olduğunuzu kanıtlamaya çalışıyorduk.,1,filler
3019,.,.,.,Dün gece herkesle selam verdiğimi tespitliyormuşsunuz.,1,filler
5019,2,infreq,3pl,Dün akşam ayakkabı boyatasıları yokmuş.,1,item
3025,.,.,.,Motorlar olay yerinden hızla uzaklaştı.,1,filler
3022,.,.,.,Şu deveyi omuzlayabileceğini düşünmüştüktü.,1,filler
5040,4,infreq,2pl,Mahkemede katille yüzleşesiniz varmış.,1,item
3028,.,.,.,Evin duvarlarını tablolarla süsleyin.,1,filler
3002,.,.,.,Metroya binmekten çok yoruldular.,1,filler
5028,3,freq,2pl,Yarın akşam zanlıyı göresiniz varmış.,1,item
3040,.,.,.,Sabahleyin yeri düşmüşsün galiba.,1,filler
3024,.,.,.,Koltuklar tepelerinde oturduğunu ezberledik.,1,filler
